source,object_id,orbital_period,transit_duration,planet_radius,stellar_temp,stellar_radius,stellar_mass,transit_depth,equilibrium_temp,insolation,disposition
TESS,1095.01,1.4821386,2.1867078,13.7339261,7066.0,2.6647301,,2102.6568299,2962.2418039,18197.1354531,CANDIDATE
TESS,1096.01,0.9209526,1.8602735,5.7349089,6553.0,2.8908899,,360.8801529,3430.7622437,32740.3629399,FALSE_POSITIVE
TESS,1097.01,9.188506,2.492,2.16591,5876.0,0.98,,460.0,786.0,63.4589,CONFIRMED
TESS,1097.02,13.9028391,2.1264429,2.6136848,5876.0,0.983215,,647.2701039,756.6987586,77.4841883,CONFIRMED
TESS,1098.01,10.1826983,2.8275109,3.0538057,6153.0,1.14582,,667.4752458,957.1991659,198.394783,CONFIRMED
TESS,1099.01,6.441006,1.812,2.56374,4867.0,0.8,,914.0,853.0,87.8902,CONFIRMED
TESS,110.01,3.1743504,2.751086,14.9172256,5943.0,1.15706,,15457.3247576,1320.6518234,718.9096994,CONFIRMED
TESS,1100.01,20.0731588,3.8449215,4.0506906,6033.0,1.14849,,1152.9645461,736.1368293,69.3993155,FALSE_POSITIVE
TESS,1101.01,2.66903,1.548,9.36823,5803.5,1.56,,3110.0,1268.0,429.86,FALSE_POSITIVE
TESS,1102.01,6.63371,2.122,2.75375,4138.1,0.63,,1555.34,610.0,22.9987,FALSE_POSITIVE
TESS,1103.01,2.94308,4.073,45.3525,4437.0,3.13,,4490.0,1976.0,2533.34,CANDIDATE
TESS,1104.01,341.2811281,6.303026,4.7531892,6058.6,1.39203,,972.5797241,846.173434,121.1597998,FALSE_POSITIVE
TESS,1105.01,10.8680523,2.375,2.90726,4664.0,0.76,,1553.0,594.0,20.7383,CANDIDATE
TESS,1106.01,11.1149,2.26,14.7645,5042.0,4.94,,900.0,603.0,21.9713,CANDIDATE
TESS,1107.01,4.0782392,4.8475616,13.898174,6501.0,1.74836,,6046.6959687,1617.8267296,1619.0081232,CONFIRMED
TESS,1108.01,7.14386,1.467,22.1531,7860.0,1.91,,11146.4,,,FALSE_POSITIVE
TESS,1109.01,7.04083,2.979,8.46404,5317.0,0.91,,1580.0,1505.0,852.336,FALSE_POSITIVE
TESS,111.01,2.1061569,1.4688934,13.086872,5380.0,0.940697,,12142.2238514,1308.0417533,691.8428073,CONFIRMED
TESS,1110.01,2.4545635,2.321,11.1276,6610.0,1.64,,4248.0,1899.0,2162.73,FALSE_POSITIVE
TESS,1111.01,11.4756978,0.808,14.1098,7262.0,2.13,,8341.0,512.0,11.4585,FALSE_POSITIVE
TESS,1112.01,2.78186,2.456,4.92567,6819.0,2.21,,490.0,1680.0,1323.21,FALSE_POSITIVE
TESS,1113.01,6.4410082,1.798,4.59203,3469.0,0.53,,7076.0,471.0,8.2114,FALSE_POSITIVE
TESS,1115.01,4.45199,2.109,15.8858,6708.3,1.57,,8483.38,1571.0,1013.74,CANDIDATE
TESS,1116.01,5.0100708,2.0644756,2.3107394,5551.0,0.906282,,409.4812214,971.6657708,210.6631712,CANDIDATE
TESS,1117.01,2.2281625,2.015,2.56778,5731.0,1.02,,630.0,1434.0,702.927,CANDIDATE
TESS,1119.01,10.95663,3.588,23.9726,6456.0,2.07,,3830.0,1389.0,619.065,CANDIDATE
TESS,112.01,2.4997996,2.865171,13.8516093,5650.0,1.13732,,14621.2059647,1399.9894384,907.8624196,CONFIRMED
TESS,1120.01,1.66226,3.321,13.3343,7301.0,1.64,,6030.0,2561.0,7149.89,FALSE_POSITIVE
TESS,1122.01,3.6245513,3.042,4.3503,6317.0,1.38,,1299.0,,919.571,FALSE_POSITIVE
TESS,1123.01,1.20928,1.886,15.1764,5159.8,1.27,,11883.8,,,CANDIDATE
TESS,1124.01,3.5187707,2.408,14.0061,6690.0,1.49,,5634.0,1863.0,2000.01,CANDIDATE
TESS,1125.01,0.7724825,1.3744974,4.1624907,8271.0,2.5027299,,211.3168519,3996.2877922,60276.5000547,CANDIDATE
TESS,1126.01,1.6268695,3.231,2.36498,5034.0,0.73,,1502.0,1850.0,1946.23,FALSE_POSITIVE
TESS,1128.01,13.5499,1.795,6.24633,6209.0,1.63,,1180.0,660.0,31.6652,FALSE_POSITIVE
TESS,1129.01,4.43651,3.365,19.9664,7101.9,2.32,,1520.0,2653.0,8233.41,FALSE_POSITIVE
TESS,113.01,3.372877,2.63426,14.201803,6050.0,1.02,,17163.60419,1270.187448,615.165921,CONFIRMED
TESS,1130.01,8.34998,1.836,11.1424,4236.0,0.74,,16680.0,588.0,19.9348,CONFIRMED
TESS,1130.02,4.0686405,1.8373729,3.7548333,4236.0,0.741921,,2650.0950013,772.378302,84.108766,CONFIRMED
TESS,1131.01,0.5860366,0.8098934,4.906408,5579.0,2.39803,,410.5241553,3263.6721812,26813.1057089,CANDIDATE
TESS,1132.01,1.5502952,2.938,3.34528,7851.0,1.86,,411.0,2839.0,10796.6,FALSE_POSITIVE
TESS,1133.01,1.80709,3.297,4.86242,6244.0,2.2,,450.0,2569.0,7233.01,FALSE_POSITIVE
TESS,1134.01,18.6922101,7.765,18.1458,6277.0,1.65,,11126.0,1141.0,282.175,FALSE_POSITIVE
TESS,1135.01,8.0277326,4.284,9.06883,5962.7,1.15,,5705.0,1106.0,248.619,CONFIRMED
TESS,1136.01,12.5187279,5.38,5.58857,5729.0,0.98,,2320.0,1393.0,626.362,CONFIRMED
TESS,1136.02,6.2586065,3.201,2.51593,5729.0,0.98,,813.0,1087.0,232.392,CONFIRMED
TESS,1136.03,26.3208756,4.414,2.71349,5729.0,0.98,,800.0,631.0,26.4328,CONFIRMED
TESS,1136.04,18.795547,4.3425576,2.1597669,5729.0,0.977727,,470.6731965,672.9826313,48.477077,CONFIRMED
TESS,1137.01,1.3206356,1.6000996,34.7561624,4919.6,6.3070302,,1052.4255997,1982.7142102,3652.2582486,CANDIDATE
TESS,1138.01,0.64971,2.076,6.23181,9994.0,2.59,,620.0,4731.0,83182.0,FALSE_POSITIVE
TESS,1139.01,4.4780798,4.513,11.3678,7947.0,1.83,,1054.0,3715.0,31621.7,CANDIDATE
TESS,114.01,3.2887898,3.4367717,10.5135877,5800.0,1.24175,,7005.7247902,1338.8392647,759.3373533,CONFIRMED
TESS,1140.01,13.7431084,2.285,12.05,5941.5,1.34,,5688.0,844.0,84.3234,FALSE_POSITIVE
TESS,1141.01,16.9487087,4.2887767,45.2204505,5894.7,1.1179,,156467.5479643,758.5937679,78.263287,FALSE_POSITIVE
TESS,1142.01,3.3686634,3.012,42.2321,7518.0,2.68,,3288.0,2775.0,9856.24,FALSE_POSITIVE
TESS,1143.01,11.2071839,4.366,17.4989,6152.0,2.24,,3276.0,1487.0,813.063,FALSE_POSITIVE
TESS,1144.01,4.8878037,2.184,5.29152,4757.3,0.76,,4279.0,810.0,71.6805,CONFIRMED
TESS,1146.01,0.660179,1.6349369,6.1672487,8598.7,2.62432,,473.0939303,5717.1532477,252487.7638842,FALSE_POSITIVE
TESS,1147.01,10.9278415,2.468,49.1695,6259.0,2.92,,2743.0,1129.0,270.142,FALSE_POSITIVE
TESS,1148.01,5.5514888,4.335,15.8043,6403.9,1.55,,9493.0,1482.0,802.858,CONFIRMED
TESS,115.01,4.7423709,2.4988145,10.5505922,5377.0,0.877585,,12650.8110411,970.6340996,209.7699043,CONFIRMED
TESS,1150.01,1.4810903,4.1588291,20.3402421,9435.0,2.28773,,6788.5145388,3446.0210572,33326.7304874,CONFIRMED
TESS,1151.01,3.4741012,3.317,21.2912,8894.8,1.62,,15748.0,2084.3330866,3453.07,CONFIRMED
TESS,1153.01,6.0360758,1.255,9.86763,6528.3,1.69,,987.0,1293.0,464.097,CANDIDATE
TESS,1154.01,21.745537,4.196,2.10208,5704.0,0.93,,659.0,642.0,28.2504,CANDIDATE
TESS,1157.01,13.0727479,3.044,35.7944,5709.8,3.59,,4080.0,1074.0,221.343,FALSE_POSITIVE
TESS,1158.01,2.9258727,4.075,24.4055,4884.5,1.3,,6720.0,2066.0,3028.51,FALSE_POSITIVE
TESS,1159.01,0.73774,0.636,5.28215,6449.5,2.1,,524.852,,,FALSE_POSITIVE
TESS,116.01,2.7985802,2.3801043,11.9514993,4920.0,0.906655,,16708.7151957,1089.1458169,332.556249,CONFIRMED
TESS,1165.01,2.2552845,2.05,14.688,5787.0,0.96,,20820.0,1348.0,549.715,CONFIRMED
TESS,1166.01,1.8824539,2.46,8.29008,5900.4,1.13,,1391.0,3091.0,15173.2,FALSE_POSITIVE
TESS,1167.01,15.196,1.792,4.96345,5807.0,1.14,,1970.0,,,FALSE_POSITIVE
TESS,1168.01,2.1358631,1.559,23.6019,5969.0,1.5,,10325.0,1745.0,1540.95,FALSE_POSITIVE
TESS,1169.01,6.7075429,2.125,17.4647,6134.3,1.24,,11920.0,1079.0,225.822,CANDIDATE
TESS,117.01,3.5862962,3.3710943,16.4747611,5704.8,2.00441,,5729.3246858,1658.3915202,1787.5955937,CONFIRMED
TESS,1170.01,1.8296155,2.166,29.3616,7875.0,3.5,,1406.0,3751.0,32867.0,FALSE_POSITIVE
TESS,1171.01,11.1876137,3.183,31.8624,7266.0,2.05,,4924.0,1499.0,838.609,FALSE_POSITIVE
TESS,1173.01,7.0643978,2.424,9.39131,5429.6,0.96,,8268.0,890.0,104.311,CONFIRMED
TESS,1174.01,8.9534775,2.696,2.35888,5029.5,0.76,,1136.0,723.0,45.5604,CONFIRMED
TESS,1175.01,7.5022708,2.605,5.55812,6229.0,1.27,,1760.0,940.0,129.866,FALSE_POSITIVE
TESS,1176.01,14.0077666,5.8727493,12.4023108,6557.7,1.57435,,5924.8349672,1028.5320293,264.4796635,CANDIDATE
TESS,1177.01,1.692892,2.886,11.2371,9121.5,2.1,,1418.0,5800.0,187927.0,FALSE_POSITIVE
TESS,1178.01,2.6652007,3.49,2.35964,4043.4,0.56,,819.0,2045.0,2905.35,FALSE_POSITIVE
TESS,1179.01,1.2615323,1.039,8.67407,4927.9,0.78,,2841.0,1715.0,1437.18,CANDIDATE
TESS,118.01,6.0344667,1.89,4.44029,5586.0,1.05,,1800.0,788.0,64.2648,CONFIRMED
TESS,1180.01,9.6867516,2.512,3.00336,4738.1,0.73,,1669.0,707.0,41.6645,CONFIRMED
TESS,1181.01,2.1031647,5.059,16.7087,6122.0,1.93,,7142.0,3037.0,14140.0,CONFIRMED
TESS,1182.01,7.6416041,2.654,27.538,6496.7,2.05,,6025.0,1303.0,478.683,FALSE_POSITIVE
TESS,1183.01,5.9294088,2.933,10.8101,5095.6,1.06,,10226.0,,456.893,FALSE_POSITIVE
TESS,1184.01,5.7484439,1.76,2.35215,4534.0,0.69,,1041.0,820.0,75.272,CONFIRMED
TESS,1185.01,1.1967018,1.879,10.3239,5997.0,1.73,,824.0,3534.0,25917.9,FALSE_POSITIVE
TESS,1186.01,11.2464616,7.391,17.6677,6115.7,2.01,,7576.0,1218.0,365.938,FALSE_POSITIVE
TESS,1187.01,2.5941968,0.861,4.47229,6389.0,1.4,,907.0,1159.0,300.014,CANDIDATE
TESS,119.01,5.5411114,2.467,2.04482,5332.0,0.82,,633.0,1117.0,258.843,CANDIDATE
TESS,119.02,10.6917268,3.002,1.79811,5332.0,0.82,,535.0,710.0,42.2657,CANDIDATE
TESS,1190.01,3.6950015,4.515,14.1288,7106.7,1.63,,7655.0,1904.0,2184.62,CANDIDATE
TESS,1191.01,15.7335693,3.288,24.3218,6800.0,2.21,,2540.0,1219.0,367.588,FALSE_POSITIVE
TESS,1192.01,45.9403293,3.768,28.3312,6479.3,1.28,,14807.0,,20.4053,CANDIDATE
TESS,1193.01,2.2219839,1.996,15.4416,7166.8,1.87,,4394.0,,7790.56,FALSE_POSITIVE
TESS,1194.01,2.3106428,1.294,8.76741,5339.9,0.99,,6911.0,1052.0,203.685,CONFIRMED
TESS,1195.01,4.05135,2.4,14.2359,4974.4,3.85,,1132.23,,,FALSE_POSITIVE
TESS,1196.01,5.5376617,2.517,15.6557,6689.0,2.06,,5390.0,1206.0,351.929,CANDIDATE
TESS,1197.01,4.5960377,4.744,16.2166,7649.0,2.12,,5000.0,1937.0,2340.04,CANDIDATE
TESS,1198.01,3.612771,4.142,19.3662,8324.0,1.71,,11794.0,2344.0,5011.92,CONFIRMED
TESS,1199.01,3.6714717,2.149,10.678,5618.0,1.54,,4340.0,1182.0,324.114,CONFIRMED
TESS,120.01,11.535076,8.555958,12.215808,5479.3,2.48771,,2389.90616,,,CONFIRMED
TESS,1200.01,0.8352406,1.043,6.4875,6105.0,1.24,,2065.0,2345.0,5021.63,FALSE_POSITIVE
TESS,1201.01,2.4919771,1.4338141,2.2187585,3948.0,0.482388,,2093.9594201,639.9817426,39.6452664,CONFIRMED
TESS,1203.01,25.5195307,6.6877451,2.9641461,5742.22,1.17321,,558.3758637,662.8890748,45.6335702,CONFIRMED
TESS,1204.01,1.3812115,2.7372191,2.2402361,6711.0,1.7756799,,117.7553083,2222.614552,5767.3673643,CANDIDATE
TESS,1205.01,2.3922703,9.0053425,3.5905923,6090.0,4.1956,,63.575141,2954.822621,18015.5142019,CANDIDATE
TESS,1206.01,0.831542,1.985538,1.881684,5824.0,1.1512,,248.969585,1999.3796659,3776.6095365,FALSE_POSITIVE
TESS,1207.01,2.6282553,2.0930597,0.9817044,6282.0,1.10743,,75.2858004,1418.1144376,955.7979966,CANDIDATE
TESS,1208.01,3.4239436,1.9601023,1.7581475,5626.0,0.823019,,443.6391381,1056.3800546,294.3078003,CANDIDATE
TESS,1208.02,10.983042,3.7478987,2.5070075,5626.0,0.823019,,725.1724567,716.2888325,62.2119369,CANDIDATE
TESS,1208.03,17.726449,3.4404719,2.261664,5626.0,0.823019,,747.7725499,610.6445415,32.8605569,CANDIDATE
TESS,1209.01,40.7199388,4.2436925,3.2352713,5914.0,1.55953,,355.619391,668.3063106,47.143655,CANDIDATE
TESS,121.01,14.7741056,5.504,15.3936,6053.0,1.23,,15041.0,928.0,123.522,CANDIDATE
TESS,1210.01,79.3739596,5.392,2.17454,5168.33,0.77,,1227.0,368.0,3.05331,FALSE_POSITIVE
TESS,1211.01,18.1663644,2.464,2.80447,5572.9,1.14,,624.0,562.0,16.6472,CANDIDATE
TESS,1212.01,105.5850893,11.6068811,2.5033335,5909.57,1.1142,,462.9116325,429.5758177,8.047858,CANDIDATE
TESS,1213.01,27.2149622,3.7190483,8.3475973,6270.0,0.989667,,4731.4046225,573.0537137,25.4860381,FALSE_POSITIVE
TESS,1214.01,19.1807264,3.9621084,2.4311768,5262.4,0.937973,,544.5602695,611.0168649,32.9407734,CANDIDATE
TESS,1215.01,1.2124493,0.9984653,0.879419,3751.0,0.518,,501.2911711,1092.1250255,336.2098533,CANDIDATE
TESS,1216.01,4.5541831,7.8146963,0.8887417,4280.0,0.635812,,187.8286128,694.0557871,54.8401357,CANDIDATE
TESS,1217.01,41.4856125,6.6899368,12.5121956,6354.0,3.4868701,,959.7522291,1035.0005398,271.196017,CANDIDATE
TESS,1218.01,13.7738265,2.9992376,1.8971927,5455.96,1.01825,,338.2166234,730.4597521,67.2831271,CANDIDATE
TESS,1219.01,1.9142544,3.256,2.04421,6734.0,1.59,,248.0,2462.0,6105.33,CANDIDATE
TESS,122.01,5.0780325,1.2100353,2.6347763,3318.0,0.334125,,5923.1283069,431.253644,8.1743139,CONFIRMED
TESS,1220.01,70.3607265,1.0325441,8.2807306,6308.0,2.0982201,,1353.9678246,685.259664,52.1124723,CANDIDATE
TESS,1221.01,91.6827832,9.7504857,3.239855,5802.0,1.01814,,713.2183569,399.0780255,5.9944903,CONFIRMED
TESS,1222.01,10.1944993,2.2648785,2.7392825,6082.0,1.32661,,317.3261147,994.4291411,231.1087411,CANDIDATE
TESS,1223.01,14.64319,2.5483426,3.41248,6516.0,2.04178,,242.7923919,1134.2791474,391.2017546,FALSE_POSITIVE
TESS,1224.01,4.1782656,1.675904,2.1023854,3442.0,0.404403,,2537.6781602,492.7241583,13.9295288,CONFIRMED
TESS,1224.02,17.9453645,3.0740072,3.3839124,3442.0,0.404403,,5480.684864,303.1226876,1.9952383,CONFIRMED
TESS,1225.01,13.896396,3.5885605,2.4586343,5522.87,0.888163,,748.5332881,686.1495861,52.3837065,CANDIDATE
